Gene	Average_Divergence
A1BG	0.03547295
A1BG-AS1	0.0412371
A1CF	0.019384114545454547
A2M	0.05561363153846154
A2ML1	0.03757828
A3GALT2	0.018516635
A4GALT	0.054365133333333336
A4GNT	0.03132256666666667
AAAS	0.016525231666666668
AACS	0.037298920909090906
AADAC	0.066390125
AADACL2	0.0544934
AADACL3	0.0292235
AADACL4	0.025462949999999998
AADAT	0.0439535075
AAGAB	0.01445562
AAK1	0.01180044157894737
AAMDC	0.03265755
AAMP	0.019960577142857143
AANAT	0.026495583333333333
AAR2	0.024905733333333333
AARD	0.04617955
AARS1	0.020990690625
AARS2	0.029823788
AASDH	0.016126258333333334
AASDHPPT	0.015799
AASS	0.019388505625
AATF	0.0311943125
AATK	0.05473984545454546
ABAT	0.037536162
ABCA1	0.01574846225
ABCA10	0.028056711111111108
ABCA12	0.022014392093023253
ABCA13	0.030412572173913043
ABCA2	0.035074881818181816
ABCA3	0.029777572399999997
ABCA4	0.02390697625
ABCA5	0.015628951111111112
ABCA6	0.029760803000000002
ABCA7	0.03791162135135136
ABCA8	0.025289672413793103
ABCA9	0.02664515551724138
ABCA9-AS1	0.0511628
ABCB1	0.02570829272727273
ABCB10	0.024791743333333335
ABCB11	0.025059541739130435
ABCB4	0.01975260619047619
ABCB6	0.015972954166666668
ABCB7	0.0092152475
ABCB8	0.029803151
ABCB9	0.029556254545454543
ABCC1	0.027753260000000002
ABCC10	0.02668975833333333
ABCC11	0.0388484375
ABCC12	0.03265287625
ABCC2	0.028600874814814815
ABCC3	0.0328488624
ABCC4	0.02452061380952381
ABCC5	0.0101656012
ABCC5-AS1	0.00965391
ABCC6	0.0357004205
ABCC8	0.023829197037037037
ABCC9	0.015122578387096774
ABCD1	0.02827775
ABCD2	0.01351014375
ABCD3	0.01711062166666667
ABCD4	0.026200873333333333
ABCE1	0.010568859
ABCF1	0.016781419230769232
ABCF2-H2BK1	0.01643026909090909
ABCF3	0.021155957142857142
ABCG1	0.03180578692307692
ABCG2	0.0275695
ABCG4	0.017953190833333334
ABCG5	0.028074983333333334
ABCG8	0.027033889
ABHD1	0.0283222
ABHD10	0.02110331
ABHD11	0.036717849999999996
ABHD11-AS1	0.0336252
ABHD12	0.0345601875
ABHD12B	0.021371405714285713
ABHD13	0.04276665
ABHD14A	0.016843999999999998
ABHD14A-ACY1	0.04305551666666666
ABHD14B	0.02915575
ABHD15	0.03044695
ABHD16A	0.021042560000000002
ABHD17A	0.03926781666666666
ABHD17B	0.021425095999999998
ABHD17C	0.01938916
ABHD18	0.031699585714285716
ABHD2	0.02354625
ABHD3	0.016908002857142855
ABHD4	0.018740906666666664
ABHD5	0.03198881625
ABHD6	0.02321442
ABHD8	0.01680434
ABI1	0.00835596
ABI2	0.017022401818181817
ABI3	0.031062516666666665
ABI3BP	0.02686001153846154
ABITRAM	0.021140346666666667
ABL1	0.019942968
ABL2	0.020010218181818182
ABLIM1	0.021463869333333333
ABLIM2	0.034970668999999996
ABLIM3	0.018401501818181818
ABO	0.0714481
ABR	0.019568780909090908
ABR-AS1	0.04222376666666666
ABRA	0.03012165
ABRACL	0.059510549999999995
ABRAXAS1	0.017052433333333335
ABRAXAS2	0.012462333333333334
ABT1	0.11355660000000001
ABTB1	0.05290084444444445
ABTB2	0.02599685153846154
ACAA1	0.022883978
ACAA2	0.021906214999999996
ACACA	0.012637353953488374
ACACB	0.020048398888888888
ACAD10	0.03384621333333334
ACAD11	0.02262616769230769
ACAD8	0.022839045714285713
ACAD9	0.028548954444444448
ACADL	0.022445086666666666
ACADM	0.017518332
ACADS	0.03760484555555556
ACADSB	0.033604260000000004
ACADVL	0.03023561111111111
ACAN	0.024716390588235295
ACAP1	0.020196094
ACAP2	0.015998354545454545
ACAP3	0.04925970333333333
ACAT1	0.0540992
ACAT2	0.015054339
ACBD3	0.01463426375
ACBD4	0.032742266666666665
ACBD5	0.021068312
ACBD6	0.020772670000000003
ACBD7	0.0509868
ACBD7-DCLRE1CP1	0.042735
ACCS	0.040944683333333336
ACCSL	0.0452651
ACD	0.035568625
ACE	0.0248699565
ACE2	0.02750218125
ACER1	0.043631500000000004
ACER2	0.021499233333333336
ACER3	0.024570511428571428
ACHE	0.02320354
ACIN1	0.006741262142857142
ACKR1	0.050701750000000004
ACKR3	0.0378631
ACKR4	0.028131
ACLY	0.020617726842105263
ACMSD	0.0338936
ACO1	0.021552863529411763
ACO2	0.02364491
ACOD1	0.029770066666666668
ACOT1	0.0193765
ACOT11	0.03664618888888889
ACOT12	0.026579939000000004
ACOT13	0.0543313
ACOT2	0.03383066666666667
ACOT4	0.025468733333333337
ACOT6	0.016089633333333336
ACOT7	0.032884533333333334
ACOT8	0.032847516666666667
ACOT9	0.02148621666666667
ACOX1	0.02568585692307692
ACOX2	0.0342136
ACOX3	0.028776012499999996
ACOXL	0.026335565
ACOXL-AS1	0.0299585
ACP1	0.019374136666666666
ACP2	0.031087637142857144
ACP3	0.025556583333333337
ACP4	0.0282752
ACP5	0.0404337
ACP6	0.027680921999999997
ACP7	0.03636493285714286
ACR	0.026433004
ACRBP	0.013796739999999998
ACRV1	0.02281685333333333
ACSBG1	0.03223181818181819
ACSBG2	0.03929201
ACSF2	0.034653878
ACSF3	0.026517959999999997
ACSL1	0.026700227857142857
ACSL3	0.015545225714285713
ACSL3-AS1	0.039107249999999996
ACSL4	0.011357856666666666
ACSL5	0.024809155833333336
ACSL6	0.027402881666666667
ACSL6-AS1	0.04989815
ACSM1	0.069103
ACSM2B	0.028819343333333334
ACSM3	0.014404463333333334
ACSM4	0.032787472
ACSM5	0.048093875
ACSM6	0.0307219
ACSS1	0.03788096416666667
ACSS2	0.018842371818181818
ACSS3	0.017561102222222222
ACTA1	0.04102103333333334
ACTA2	0.02920318375
ACTA2-AS1	0.07778065
ACTB	0.021817896000000003
ACTBL2	0.0677362
ACTC1	0.017363816666666667
ACTE1P	0.0555227
ACTG1	0.02377418
ACTG2	0.010268102857142858
ACTL10	0.0396239
ACTL6A	0.018479065
ACTL6B	0.014148714000000001
ACTL7A	0.0227577
ACTL7B	0.0335622
ACTL8	0.04610656666666666
ACTL9	0.030303
ACTN1	0.014575840714285715
ACTN1-DT	0.0570385
ACTN2	0.020347847692307693
ACTN3	0.021083908
ACTN4	0.020323300714285713
ACTR10	0.01957693
ACTR1A	0.013709676666666665
ACTR1B	0.03228386666666667
ACTR2	0.01276198625
ACTR3	0.0152463375
ACTR3-AS1	0.0485437
ACTR3B	0.007078022857142857
ACTR3C	0.0385857
ACTR5	0.021734526666666667
ACTR6	0.0021489975
ACTR8	0.017808347
ACTRT1	0.0338632
ACTRT2	0.0529328
ACTRT3	0.0269896
ACVR1	0.02836119183333333
ACVR1B	0.022316959090909094
ACVR1C	0.017173179
ACVR2A	0.008532794166666668
ACVR2B	0.01579145909090909
ACVR2B-AS1	0.0305418
ACVRL1	0.02301657
ACY1	0.030261
ACY3	0.0314469
ACYP1	0.0468883
ACYP2	0.03120977142857143
ADA	0.03648652222222223
ADA2	0.042553225
ADAD1	0.01580359833333333
ADAD2	0.04122938888888889
ADAL	0.026867933333333333
ADAM10	0.010004014285714286
ADAM11	0.019605497142857142
ADAM12	0.038382339999999994
ADAM15	0.02409551818181818
ADAM17	0.011149091666666666
ADAM18	0.033574889999999996
ADAM19	0.023979926153846157
